Time,Velocity,Omega
1571250137.631076,0.000000,-1.000000
1571250137.631826,0.300000,-3.636633
1571250137.686736,0.000000,-1.000000
1571250137.687391,0.300000,-3.636633
1571250137.741652,0.000000,-1.000000
1571250137.742235,0.300000,-3.636633
1571250137.793580,0.000000,-1.000000
1571250137.794463,0.300000,-3.636633
1571250137.828677,0.300000,-5.153787
1571250137.864774,0.000000,-1.000000
1571250137.865459,0.300000,-5.153787
1571250137.935074,0.000000,-1.000000
1571250137.935761,0.300000,-5.153787
1571250137.981077,0.300000,-5.184530
1571250138.028346,0.300000,-5.184724
1571250138.082045,0.300000,-5.174730
1571250138.133742,0.300000,-5.114676
1571250138.170926,0.300000,-5.117837
1571250138.230847,0.300000,-5.060741
1571250138.285729,0.300000,-5.154837
1571250138.327472,0.300000,-5.139293
1571250138.369590,0.300000,-5.043888
1571250138.421122,0.300000,-5.112418
1571250138.503872,0.300000,-5.063609
1571250138.538065,0.300000,-5.054095
1571250138.577961,0.300000,-4.981542
1571250138.648008,0.300000,-4.771376
1571250138.687821,0.300000,-4.825343
1571250138.727723,0.300000,-4.833383
1571250138.770249,0.300000,-4.817002
1571250138.831372,0.300000,-4.674358
1571250138.877925,0.300000,-4.616623
1571250138.924798,0.300000,-4.720085
1571250138.954376,0.300000,-4.756643
1571250139.000078,0.300000,-4.697141
1571250139.058393,0.300000,-4.555725
1571250139.113662,0.300000,-4.440008
1571250139.164783,0.300000,-4.512496
1571250139.200290,0.300000,-3.968847
1571250139.261176,0.300000,-4.381858
1571250139.304466,0.300000,-3.956121
1571250139.355848,0.300000,-4.324912
1571250139.401663,0.300000,-3.333648
1571250139.455590,0.300000,-2.575946
1571250139.505895,0.300000,-1.758389
1571250139.554685,0.300000,-3.256096
1571250139.619606,0.300000,-2.110515
1571250139.666896,0.300000,-2.130062
1571250139.729316,0.300000,-0.998635
1571250139.775762,0.300000,-1.500268
1571250139.831146,0.300000,-0.305778
1571250139.880250,0.300000,0.744913
1571250139.915501,0.300000,-1.084159
1571250139.961219,0.300000,-0.711582
1571250140.002473,0.300000,-0.136221
1571250140.063399,0.300000,0.729065
1571250140.132258,0.300000,-1.079247
1571250140.171119,0.300000,0.405978
1571250140.245733,0.300000,0.948841
1571250140.313557,0.300000,-0.635854
1571250140.383826,0.300000,-0.896217
1571250140.451018,0.300000,-0.861124
1571250140.524435,0.300000,-1.347723
1571250140.572431,0.300000,-2.563919
1571250140.606601,0.300000,-2.706276
1571250140.657555,0.300000,-2.061476
1571250140.714844,0.300000,2.141320
1571250140.767029,0.300000,-2.004872
1571250140.832510,0.300000,-1.457817
1571250140.891951,0.300000,-1.737377
1571250140.941328,0.300000,-2.229485
1571250140.980922,0.300000,-1.757469
1571250141.027859,0.300000,-1.719922
1571250141.053401,0.300000,-2.184150
1571250141.099048,0.300000,-2.477709
1571250141.148253,0.300000,-2.088430
1571250141.191225,0.300000,-2.987104
1571250141.246743,0.300000,-1.601863
1571250141.296652,0.300000,-1.442462
1571250141.348624,0.300000,-1.911904
1571250141.388462,0.300000,1.656286
1571250141.438512,0.300000,1.670796
1571250141.506330,0.300000,-2.086129
1571250141.553591,0.300000,-1.660029
1571250141.617022,0.300000,1.875304
1571250141.655528,0.300000,-2.200028
1571250141.700079,0.300000,-2.385529
1571250141.748290,0.300000,-3.027122
1571250141.786711,0.300000,0.166265
1571250141.829357,0.300000,0.083272
1571250141.873987,0.300000,-2.060817
1571250141.917886,0.300000,-1.940820
1571250141.969695,0.300000,-1.264429
1571250142.025933,0.300000,-2.005997
1571250142.071236,0.300000,-2.026385
1571250142.125142,0.300000,-2.182652
1571250142.169195,0.300000,-2.336990
1571250142.229447,0.300000,-2.185201
1571250142.282542,0.300000,-2.296168
1571250142.325608,0.300000,-1.826846
1571250142.369530,0.300000,-0.411808
1571250142.411855,0.300000,-0.844648
1571250142.471953,0.300000,-0.866420
1571250142.511939,0.300000,1.745892
1571250142.563543,0.300000,2.915423
1571250142.633850,0.300000,2.241576
1571250142.665083,0.300000,2.805127
1571250142.715333,0.300000,2.100981
1571250142.761058,0.300000,4.643341
1571250142.795020,0.300000,3.846485
1571250142.834713,0.300000,2.988937
1571250142.884461,0.300000,2.903827
1571250142.939050,0.300000,2.103021
1571250142.986659,0.300000,3.175942
1571250143.032922,0.300000,4.359034
1571250143.079001,0.300000,3.903327
1571250143.133686,0.300000,3.780642
1571250143.180230,0.300000,2.448449
1571250143.233708,0.300000,1.856923
1571250143.269771,0.300000,3.254467
1571250143.335726,0.300000,2.890589
1571250143.370744,0.300000,2.556378
1571250143.433605,0.300000,2.481295
1571250143.466445,0.300000,3.025317
1571250143.515461,0.300000,-0.953297
1571250143.564915,0.300000,-1.955128
1571250143.634939,0.300000,0.243859
1571250143.678661,0.300000,2.525167
1571250143.724851,0.300000,-1.437721
1571250143.776480,0.300000,0.775819
1571250143.823931,0.300000,1.135577
1571250143.874679,0.300000,-0.497607
1571250143.919497,0.300000,0.104278
1571250143.963381,0.300000,0.038647
1571250144.021792,0.300000,1.132036
1571250144.063170,0.300000,0.852258
1571250144.101308,0.300000,0.549107
1571250144.170014,0.300000,0.879358
1571250144.220172,0.300000,0.898152
1571250144.262865,0.300000,1.162565
1571250144.308522,0.300000,1.180859
1571250144.365372,0.300000,0.769101
1571250144.405263,0.300000,0.975006
1571250144.467049,0.300000,2.708787
1571250144.504464,0.300000,0.789828
1571250144.553359,0.300000,0.496932
1571250144.623970,0.300000,0.601801
1571250144.667064,0.300000,0.682917
1571250144.715781,0.300000,-0.177511
1571250144.769681,0.300000,0.504081
1571250144.819943,0.300000,0.199996
1571250144.864991,0.300000,0.156878
